Codigo,Calle,Latitudes,Longitudes,CODIGO ESRI,Name,Nombre,SIgla,ProPIedad,DAP,Altura,Radio,Estado,PODA,TratamIento,PRIORIDAD TRATAMIENTO,TAZA,FísIco,Hongos,Insectos,VIrus/BacterIa,OBSERVACIONES,N° REBROTES,
018AI72,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI73,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI74,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI75,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI76,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI77,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI78,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI79,,,,,AIlantus,,,CEM,8,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI80,,,,,AIlantus,,,CEM,8,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI81,,,,,AIlantus,,,CEM,8,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI82,,,,,AIlantus,,,CEM,8,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI83,,,,,LIgustro,,,SePultura,4,"3,5","1,2",Bueno,PODA,MANTENCION,2,NO,,,,,,,
018AI84,,,,,LIgustro,,,SePultura,11,"3,5","1,2",Bueno,PODA,MANTENCION,2,NO,,,,,,,
018AI85,,,,,AIlantus,,,CEM,3,"3,5",1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI86,,,,,CIruelo rojo,,,CEM,28,"5,5",2,Malo,NO APLICA,CORTA,1,NO,,,,,QUINTRAL,,
018AI87,,,,,CIruelo rojo,,,CEM,17,"3,5",2,Regular,PODA,CORTA,1,NO,,,,,QUINTRAL,,
152AP01,,,,,NN hacer,,,,,,,Regular,NO APLICA,MANTENCION,3,NO,,,,,,,
150AP01,CEIBOS,,,,ACER,,,CEM,35,5,2,Regular,PODA,CORTA,3,NO,,,INSECTOS,TUMORES,,,
150AP02,CEIBOS,,,,ACER,,,CEM,24,5,"1,5",Bueno,PODA,MANTENCION,2,NO,,,,,,,
150AP03,CEIBOS,,,,ARBUSTO,,,CEM,3,3,1,REGULAR,PODA,MANTENCION,1,NO,,,,AGALLAS,,,
150AP04,CEIBOS,,,,ACER,,,CEM,11,3,"0,5",MALO,PODA,CORTA,2,NO,,,,,,,
150AP05,CEIBOS,,,,LIgustro,,,CEM,19,5,"1,5",Bueno,PODA,MANTENCION,2,NO,,,,,,,
150AP06,CEIBOS,,,,PIMIENTO,,,CEM,4,4,"0,5",BUENO,NO APLICA,EXTRACCION,2,NO,,,,,,,
150AI07,INTERIOR PATIO,,,,ACER,,,CEM,23,4,"1,5",REGULAR,PODA,MANTENCION,1,NO,,,,,,,
150AI08,INTERIOR PATIO,,,,ACER,,,CEM,20,4,"1,5",REGULAR,PODA,MANTENCION,1,NO,,HONGOS,INSECTOS,,,,
150AI09,INTERIOR PATIO,,,,ACER,,,CEM,13,4,"1,5",Regular,PODA,MANTENCION,1,NO,,,,,EXUDACIÓN,,
150AI10,INTERIOR PATIO,,,,ACER,,,CEM,14,4,2,Bueno,PODA,MANTENCION,2,NO,,,,,,,
150AI11,INTERIOR PATIO,,,,ACER,,,CEM,14,4,2,Bueno,PODA,MANTENCION,2,NO,,,,,DOBLE FLECHA,,
150AI12,INTERIOR PATIO,,,,ACER,,,CEM,14,4,2,Bueno,PODA,MANTENCION,2,NO,Rebrotes,,,TUMORES,EXUDACION,,
